Tactic call cbv;rewrite_strat(topdown) ran for 1.117 secs (1.12u,0.s) (success)
Params: n= 1 ,m= 180
Tactic call cbv;rewrite_strat(topdown) ran for 1.14 secs (1.14u,0.s) (success)
Params: n= 1 ,m= 181
Tactic call cbv;rewrite_strat(topdown) ran for 1.218 secs (1.219u,0.s) (success)
Params: n= 1 ,m= 182
Tactic call cbv;rewrite_strat(topdown) ran for 1.184 secs (1.183u,0.s) (success)
Params: n= 1 ,m= 183
Tactic call cbv;rewrite_strat(topdown) ran for 1.158 secs (1.155u,0.s) (success)
Params: n= 1 ,m= 184
Tactic call cbv;rewrite_strat(topdown) ran for 1.253 secs (1.256u,0.s) (success)
Params: n= 1 ,m= 185
Tactic call cbv;rewrite_strat(topdown) ran for 1.195 secs (1.196u,0.s) (success)
Params: n= 1 ,m= 186
Tactic call cbv;rewrite_strat(topdown) ran for 1.216 secs (1.215u,0.s) (success)
Params: n= 1 ,m= 187
Tactic call cbv;rewrite_strat(topdown) ran for 1.27 secs (1.272u,0.s) (success)
Params: n= 1 ,m= 188
Tactic call cbv;rewrite_strat(topdown) ran for 1.262 secs (1.263u,0.s) (success)
Params: n= 1 ,m= 189
Tactic call cbv;rewrite_strat(topdown) ran for 1.343 secs (1.343u,0.s) (success)
Params: n= 1 ,m= 190
Tactic call cbv;rewrite_strat(topdown) ran for 1.203 secs (1.204u,0.s) (success)
Params: n= 1 ,m= 191
Tactic call cbv;rewrite_strat(topdown) ran for 1.268 secs (1.268u,0.s) (success)
Params: n= 1 ,m= 192
Tactic call cbv;rewrite_strat(topdown) ran for 1.26 secs (1.26u,0.s) (success)
Params: n= 1 ,m= 193
Tactic call cbv;rewrite_strat(topdown) ran for 1.343 secs (1.343u,0.s) (success)
Params: n= 1 ,m= 194
Tactic call cbv;rewrite_strat(topdown) ran for 1.312 secs (1.312u,0.s) (success)
Params: n= 1 ,m= 195
Tactic call cbv;rewrite_strat(topdown) ran for 1.301 secs (1.303u,0.s) (success)
Params: n= 1 ,m= 196
Tactic call cbv;rewrite_strat(topdown) ran for 1.385 secs (1.384u,0.s) (success)
Params: n= 1 ,m= 197
Tactic call cbv;rewrite_strat(topdown) ran for 1.35 secs (1.347u,0.s) (success)
Params: n= 1 ,m= 198
Tactic call cbv;rewrite_strat(topdown) ran for 1.446 secs (1.448u,0.s) (success)
Params: n= 1 ,m= 199
Tactic call cbv;rewrite_strat(topdown) ran for 1.294 secs (1.295u,0.s) (success)
Params: n= 1 ,m= 200
Tactic call cbv;rewrite_strat(topdown) ran for 1.409 secs (1.412u,0.s) (success)
Params: n= 1 ,m= 201
Tactic call cbv;rewrite_strat(topdown) ran for 1.43 secs (1.427u,0.s) (success)
Params: n= 1 ,m= 202
Tactic call cbv;rewrite_strat(topdown) ran for 1.391 secs (1.387u,0.s) (success)
Params: n= 1 ,m= 203
Tactic call cbv;rewrite_strat(topdown) ran for 1.433 secs (1.432u,0.s) (success)
Params: n= 1 ,m= 204
Tactic call cbv;rewrite_strat(topdown) ran for 1.466 secs (1.468u,0.s) (success)
Params: n= 1 ,m= 205
Tactic call cbv;rewrite_strat(topdown) ran for 1.427 secs (1.427u,0.s) (success)
Params: n= 1 ,m= 206
Tactic call cbv;rewrite_strat(topdown) ran for 1.483 secs (1.484u,0.s) (success)
Params: n= 1 ,m= 207
Tactic call cbv;rewrite_strat(topdown) ran for 1.553 secs (1.551u,0.s) (success)
Params: n= 1 ,m= 208
Tactic call cbv;rewrite_strat(topdown) ran for 1.433 secs (1.436u,0.s) (success)
Params: n= 1 ,m= 209
Tactic call cbv;rewrite_strat(topdown) ran for 1.505 secs (1.503u,0.s) (success)
Params: n= 1 ,m= 210
Tactic call cbv;rewrite_strat(topdown) ran for 1.51 secs (1.507u,0.s) (success)
Params: n= 1 ,m= 211
Tactic call cbv;rewrite_strat(topdown) ran for 1.547 secs (1.52u,0.027s) (success)
Params: n= 1 ,m= 212
Tactic call cbv;rewrite_strat(topdown) ran for 1.581 secs (1.544u,0.036s) (success)
Params: n= 1 ,m= 213
Tactic call cbv;rewrite_strat(topdown) ran for 1.877 secs (1.875u,0.004s) (success)
Params: n= 1 ,m= 214
Tactic call cbv;rewrite_strat(topdown) ran for 1.584 secs (1.579u,0.004s) (success)
Params: n= 1 ,m= 215
Tactic call cbv;rewrite_strat(topdown) ran for 1.538 secs (1.536u,0.s) (success)
Params: n= 1 ,m= 216
Tactic call cbv;rewrite_strat(topdown) ran for 1.646 secs (1.647u,0.s) (success)
Params: n= 1 ,m= 217
Tactic call cbv;rewrite_strat(topdown) ran for 1.543 secs (1.543u,0.s) (success)
Params: n= 1 ,m= 218
Tactic call cbv;rewrite_strat(topdown) ran for 1.616 secs (1.615u,0.s) (success)
Params: n= 1 ,m= 219
Tactic call cbv;rewrite_strat(topdown) ran for 1.607 secs (1.608u,0.s) (success)
Params: n= 1 ,m= 220
Tactic call cbv;rewrite_strat(topdown) ran for 1.661 secs (1.659u,0.s) (success)
Params: n= 1 ,m= 221
Tactic call cbv;rewrite_strat(topdown) ran for 1.686 secs (1.688u,0.s) (success)
Params: n= 1 ,m= 222
Tactic call cbv;rewrite_strat(topdown) ran for 1.676 secs (1.675u,0.s) (success)
Params: n= 1 ,m= 223
Tactic call cbv;rewrite_strat(topdown) ran for 1.715 secs (1.711u,0.s) (success)
Params: n= 1 ,m= 224
Tactic call cbv;rewrite_strat(topdown) ran for 1.842 secs (1.828u,0.s) (success)
Params: n= 1 ,m= 225
Tactic call cbv;rewrite_strat(topdown) ran for 1.89 secs (1.888u,0.s) (success)
Params: n= 1 ,m= 226
Tactic call cbv;rewrite_strat(topdown) ran for 1.795 secs (1.788u,0.008s) (success)
Params: n= 1 ,m= 227
Tactic call cbv;rewrite_strat(topdown) ran for 1.916 secs (1.911u,0.003s) (success)
Params: n= 1 ,m= 228
Tactic call cbv;rewrite_strat(topdown) ran for 1.844 secs (1.844u,0.s) (success)
Params: n= 1 ,m= 229
Tactic call cbv;rewrite_strat(topdown) ran for 1.908 secs (1.903u,0.s) (success)
Params: n= 1 ,m= 230
Tactic call cbv;rewrite_strat(topdown) ran for 1.933 secs (1.931u,0.s) (success)
Params: n= 1 ,m= 231
Tactic call cbv;rewrite_strat(topdown) ran for 1.956 secs (1.951u,0.s) (success)
Params: n= 1 ,m= 232
Tactic call cbv;rewrite_strat(topdown) ran for 1.882 secs (1.879u,0.s) (success)
Params: n= 1 ,m= 233
Tactic call cbv;rewrite_strat(topdown) ran for 2.012 secs (2.012u,0.s) (success)
Params: n= 1 ,m= 234
