Tactic call prove_Wf_with:reflexivity ran for 0.004 secs (0.003u,0.s) (success)
Tactic call prove_Wf_with:reflexivity ran for 0. secs (0.u,0.s) (success)
Tactic call prove_Wf ran for 0.018 secs (0.019u,0.s) (success)
Tactic call vm_compute_and_unify_in_rewrite ran for 1.125 secs (1.124u,0.s) (success)
Tactic call do_rewrite_with:vm_cast_no_check ran for 0.004 secs (0.003u,0.s) (success)
Tactic call rewriting ran for 1.151 secs (1.152u,0.s) (success)
Tactic call final_cbv ran for 0.073 secs (0.076u,0.s) (success)
Tactic call Rewrite_for_gen ran for 1.401 secs (1.399u,0.004s) (success)
Tactic call Rewrite_lhs_for ran for 1.401 secs (1.399u,0.004s) (success)
Params: n= 10 ,m= 38
Tactic call Rewrite_for_gen:etransitivity_for_sides ran for 0.001 secs (0.003u,0.s) (success)
Tactic call Rewrite_for_gen:generalize_hyps_for_rewriting ran for 0.008 secs (0.008u,0.s) (success)
Tactic call do_reify_rhs_with:notypeclasses_refine ran for 0. secs (0.003u,0.s) (success)
Tactic call do_reify_rhs_with:reify_hint ran for 0.149 secs (0.148u,0.s) (success)
