tree depth,extra +0s per node,term size,term size+29,Rewrite_for,rewriting,rewriting (vm only),cbv;rewrite!,cbv;setoid_rewrite,cbv;rewrite_strat(topdown),cbv;rewrite_strat(bottomup)
1,148,448,564,0.22,0.032,0.008,0.591,2.04,0.771,3.788
2,63,449,681,0.211,0.031,0.003,0.372,1.859,0.564,3.907
1,149,451,567,0.219,0.036,0.004,0.596,2.087,0.768,3.771
3,29,451,915,0.211,0.031,0.007,0.211,1.603,0.416,3.908
1,150,454,570,0.223,0.031,0.007,0.6,2.043,0.787,4.087
2,64,456,688,0.204,0.028,0.008,0.415,1.916,0.583,3.96
1,151,457,573,0.22,0.032,0.004,0.599,2.072,0.756,3.963
1,152,460,576,0.216,0.032,0.008,0.607,2.079,0.835,3.96
1,153,463,579,0.219,0.031,0.007,0.615,2.1,0.788,4.116
2,65,463,695,0.207,0.028,0.008,0.408,1.995,1.6,4.168
1,154,466,582,0.216,0.031,0.007,0.619,2.167,0.871,4.104
3,30,466,930,0.208,0.032,0.008,0.227,1.688,0.435,4.155
4,14,466,1394,0.216,0.035,0.011,0.132,1.416,0.395,3.799
1,155,469,585,0.223,0.036,0.004,0.631,2.228,0.899,4.115
2,66,470,702,0.207,0.028,0.007,0.403,2.072,0.615,4.251
1,156,472,588,0.22,0.032,0.008,0.648,2.195,0.804,4.235
1,157,475,591,0.219,0.031,0.007,0.676,2.2,0.816,4.271
2,67,477,709,0.208,0.032,0.008,0.423,2.119,0.751,4.508
1,158,478,594,0.216,0.031,0.007,0.687,2.215,0.884,4.192
1,159,481,597,0.228,0.036,0.015,0.704,2.244,1.012,4.36
3,31,481,945,0.204,0.028,0.008,0.24,1.8,0.467,4.231
1,160,484,600,0.216,0.032,0.004,0.696,2.319,0.859,4.339
2,68,484,716,0.211,0.036,0.012,0.412,2.127,0.627,4.46
1,161,487,603,0.219,0.031,0.007,0.687,2.355,0.927,4.403
1,162,490,606,0.22,0.031,0.004,0.7,2.319,0.955,4.568
2,69,491,723,0.207,0.028,0.008,0.42,2.136,0.64,4.587
1,163,493,609,0.212,0.028,0.004,0.699,2.343,1.051,4.467
1,164,496,612,0.22,0.027,0.003,0.707,2.364,0.932,4.5
3,32,496,960,0.211,0.032,0.008,0.264,1.923,0.527,4.544
4,15,497,1425,0.215,0.036,0.011,0.139,1.559,0.4,4.244
2,70,498,730,0.207,0.028,0.004,0.447,2.203,0.667,5.147
1,165,499,615,0.219,0.031,0.003,0.712,2.42,0.891,4.696
1,166,502,618,0.228,0.036,0.007,0.719,2.496,0.972,4.632
1,167,505,621,0.228,0.032,0.008,0.76,2.448,0.96,4.639
2,71,505,737,0.211,0.031,0.003,0.46,2.276,0.696,4.724
5,7,505,2361,0.223,0.048,0.028,0.076,1.376,0.339,3.928
1,168,508,624,0.223,0.031,0.007,0.775,2.463,0.987,4.924
6,3,509,4221,0.232,0.059,0.04,0.036,1.091,0.327,3.011
1,169,511,627,0.219,0.031,0.004,0.788,2.479,1.015,4.947
3,33,511,975,0.207,0.035,0.007,0.275,1.956,0.568,4.695
7,1,511,7935,0.267,0.092,0.064,0.016,0.72,0.416,1.516
2,72,512,744,0.207,0.027,0.007,0.471,2.299,0.755,4.975
1,170,514,630,0.228,0.039,0.015,0.783,2.555,1.359,5.387
1,171,517,633,0.211,0.027,0.004,0.768,2.62,1.1,5.24
2,73,519,751,0.208,0.028,0.008,0.471,2.415,0.816,5.163
1,172,520,636,0.219,0.031,0.004,0.771,2.568,0.944,6.136
1,173,523,639,0.22,0.031,0.003,0.795,2.587,0.992,5.24
1,174,526,642,0.216,0.028,0.008,0.792,2.62,1.068,5.275
2,74,526,758,0.211,0.032,0.004,0.484,2.508,0.728,5.284
3,34,526,990,0.207,0.028,0.008,0.288,2.019,0.539,5.22
4,16,528,1456,0.216,0.035,0.011,0.168,1.724,0.48,4.731
1,175,529,645,0.223,0.031,0.007,0.804,2.692,1.119,6.451
1,176,532,648,0.223,0.031,0.007,0.811,2.74,1.076,5.528
2,75,533,765,0.211,0.032,0.012,0.5,2.488,0.748,5.367
1,177,535,651,0.223,0.036,0.003,0.868,2.699,1.103,5.515
1,178,538,654,0.228,0.036,0.004,0.871,2.712,1.176,5.596
2,76,540,772,0.211,0.028,0.008,0.511,2.539,0.839,5.36
1,179,541,657,0.228,0.031,0.003,0.792,2.768,1.12,5.596
3,35,541,1005,0.208,0.032,0.008,0.307,2.128,0.588,5.291
1,180,544,660,0.223,0.031,0.007,0.775,2.859,1.14,5.855
