n,Rewrite_for,rewriting,rewriting (vm only),cbv,lazy,vm_compute,native(1)(real),native(2)(real),cbn,simpl
3319,4.699,4.304,4.251,2.975,7.923,0.155,0.289,0.332,,
3321,4.699,4.311,4.268,3.019,7.931,0.16,0.232,0.297,,
3323,4.715,4.327,4.284,3.019,7.872,0.156,0.328,0.295,,
3325,4.76,4.376,4.327,3.016,8.815,0.159,0.292,0.24,,
3327,4.771,4.384,4.34,3.036,7.736,0.156,0.3,0.222,,
3329,4.763,4.364,4.32,3.028,7.983,0.156,0.216,0.211,,
3331,4.815,4.408,4.355,3.056,7.967,0.159,0.274,0.303,,
3333,4.788,4.395,4.34,3.048,7.952,0.164,0.22,0.213,,
3335,4.8,4.4,4.347,3.036,8.948,0.155,0.211,0.274,,
3337,4.784,4.388,4.339,3.096,7.703,0.159,0.295,0.232,,
3339,4.768,4.384,4.336,3.043,8.047,0.164,0.215,0.287,,
3341,4.803,4.423,4.38,3.04,8.759,0.16,0.22,0.285,,
3343,4.864,4.467,4.42,3.096,7.863,0.159,0.285,0.28,,
3345,4.812,4.423,4.367,3.06,8.996,0.156,0.228,0.293,,
3347,4.795,4.4,4.356,3.08,7.78,0.164,0.23,0.23,,
3349,4.788,4.395,4.351,3.059,8.019,0.156,0.284,0.304,,
3351,4.784,4.396,4.351,3.075,8.951,0.164,0.226,0.282,,
3353,4.78,4.391,4.347,3.056,7.891,0.159,0.225,0.291,,
3355,4.82,4.423,4.38,3.067,8.307,0.159,0.302,0.341,,
3357,4.807,4.412,4.372,3.084,8.012,0.159,0.263,0.271,,
3359,4.903,4.5,4.456,3.068,8.152,0.163,0.22,0.3,,
3361,4.9,4.496,4.443,3.06,8.859,0.159,0.285,0.228,,
3363,4.9,4.487,4.436,3.14,7.987,0.164,0.233,0.281,,
3365,4.843,4.427,4.38,3.079,8.992,0.163,0.225,0.289,,
3367,4.851,4.447,4.396,3.059,7.944,0.159,0.225,0.287,,
3369,4.875,4.475,4.423,3.115,8.264,0.16,0.256,0.23,,
3371,4.852,4.46,4.412,3.119,8.771,0.16,0.29,0.308,,
3373,4.872,4.476,4.431,3.1,8.091,0.168,0.296,0.274,,
3375,4.903,4.508,4.463,3.116,9.115,0.159,0.31,0.302,,
3377,4.984,4.591,4.547,3.136,7.98,0.164,0.296,0.227,,
3379,4.923,4.536,4.492,3.124,8.284,0.164,0.313,0.294,,
3381,4.912,4.524,4.471,3.124,8.188,0.164,0.302,0.231,,
3383,4.903,4.516,4.471,3.132,8.207,0.168,0.291,0.275,,
3385,4.879,4.488,4.443,3.104,9.071,0.164,0.25,0.293,,
3387,4.871,4.472,4.432,3.112,8.115,0.159,0.226,0.212,,
3389,4.928,4.519,4.471,3.163,8.42,0.167,0.215,0.298,,
3391,4.916,4.528,4.475,3.115,8.163,0.167,0.222,0.301,,
3393,5.035,4.647,4.603,3.148,8.364,0.164,0.312,0.221,,
3395,4.96,4.572,4.523,3.204,8.264,0.164,0.226,0.228,,
3397,4.956,4.567,4.527,3.192,8.252,0.167,0.221,0.212,,
3399,4.92,4.528,4.488,3.168,9.115,0.164,0.21,0.287,,
3401,4.923,4.539,4.496,3.195,8.115,0.164,0.309,0.303,,
3403,4.931,4.532,4.492,3.163,9.244,0.164,0.309,0.229,,
3405,4.931,4.532,4.488,3.155,8.032,0.168,0.228,0.226,,
3407,4.947,4.559,4.516,3.187,8.332,0.164,0.222,0.303,,
3409,5.067,4.675,4.624,3.195,9.087,0.168,0.307,0.29,,
3411,5.,4.596,4.552,3.18,8.212,0.167,0.235,0.227,,
3413,4.996,4.596,4.547,3.155,9.224,0.167,0.221,0.227,,
3415,4.984,4.588,4.536,3.2,8.224,0.164,0.21,0.214,,
3417,4.983,4.588,4.536,3.168,8.583,0.167,0.219,0.216,,
3419,4.955,4.567,4.516,3.147,8.279,0.164,0.217,0.214,,
3421,4.951,4.563,4.519,3.2,8.439,0.171,0.211,0.218,,
3423,4.967,4.584,4.539,3.208,8.367,0.168,0.213,0.336,,
3425,5.103,4.699,4.652,3.187,8.412,0.168,0.307,0.238,,
3427,5.023,4.628,4.588,3.211,9.275,0.171,0.229,0.285,,
3429,4.996,4.612,4.568,3.203,8.24,0.168,0.304,0.295,,
3431,4.952,4.568,4.528,3.192,9.34,0.167,0.295,0.222,,
3433,4.987,4.596,4.548,3.211,8.167,0.167,0.221,0.294,,
3435,4.996,4.599,4.552,3.263,8.52,0.167,0.285,0.304,,
3437,5.015,4.615,4.572,3.216,8.46,0.167,0.311,0.304,,
3439,5.031,4.639,4.588,3.183,8.524,0.168,0.296,0.295,,
3441,5.088,4.704,4.651,3.26,9.172,0.171,0.262,0.315,,
3443,5.036,4.639,4.595,3.211,8.427,0.167,0.256,0.234,,
