n,Rewrite_for,rewriting,rewriting (vm only),cbv;rewrite_strat(bottomup),cbv;rewrite_strat(topdown),cbv;setoid_rewrite
424,0.335,0.164,0.14,,,
425,0.323,0.152,0.128,,,
426,0.38,0.171,0.148,,,
427,0.328,0.147,0.128,,,
428,0.352,0.176,0.147,,,
429,0.347,0.164,0.14,,,
430,0.328,0.156,0.132,,,
431,0.328,0.159,0.14,,,
432,0.335,0.16,0.135,,,
433,0.323,0.152,0.136,,,
434,0.347,0.16,0.135,,,
435,0.335,0.159,0.135,,,
436,0.319,0.147,0.128,,,
437,0.331,0.16,0.135,,,
438,0.331,0.156,0.135,,,
439,0.332,0.16,0.135,,,
440,0.335,0.168,0.144,,,
441,0.335,0.155,0.135,,,
442,0.34,0.164,0.14,,,
443,0.328,0.152,0.131,,,
444,0.34,0.164,0.14,,,
445,0.332,0.156,0.135,,,
446,0.355,0.159,0.136,,,
447,0.355,0.183,0.159,,,
448,0.347,0.168,0.147,,,
449,0.359,0.159,0.136,,,
450,0.364,0.192,0.167,,,
451,0.348,0.172,0.147,,,
452,0.359,0.176,0.152,,,
453,0.351,0.171,0.152,,,
454,0.339,0.171,0.147,,,
455,0.343,0.171,0.143,,,
456,0.347,0.176,0.148,,,
457,0.331,0.156,0.132,,,
458,0.343,0.168,0.147,,,
459,0.335,0.159,0.14,,,
460,0.359,0.168,0.143,,,
461,0.347,0.159,0.14,,,
462,0.34,0.168,0.147,,,
463,0.356,0.171,0.148,,,
464,0.352,0.171,0.148,,,
465,0.347,0.171,0.152,,,
466,0.367,0.191,0.164,,,
467,0.359,0.179,0.16,,,
468,0.363,0.179,0.156,,,
469,0.384,0.163,0.143,,,
470,0.371,0.2,0.18,,,
471,0.359,0.179,0.159,,,
472,0.371,0.192,0.164,,,
473,0.359,0.179,0.152,,,
474,0.344,0.164,0.144,,,
475,0.367,0.171,0.147,,,
476,0.355,0.175,0.152,,,
477,0.347,0.171,0.151,,,
478,0.347,0.171,0.147,,,
479,0.355,0.168,0.148,,,
480,0.352,0.176,0.156,,,
481,0.355,0.176,0.155,,,
482,0.351,0.176,0.148,,,
483,0.347,0.168,0.148,,,
484,0.384,0.171,0.147,,,
485,0.356,0.176,0.156,,,
486,0.371,0.191,0.164,,,
487,0.396,0.172,0.152,,,
488,0.388,0.212,0.188,,,
489,0.38,0.2,0.167,,,
490,0.355,0.176,0.152,,,
491,0.363,0.183,0.159,,,
492,0.367,0.179,0.159,,,
493,0.364,0.183,0.155,,,
494,0.384,0.179,0.159,,,
495,0.363,0.18,0.155,,,
496,0.347,0.171,0.147,,,
497,0.376,0.179,0.156,,,
498,0.359,0.183,0.16,,,
499,0.376,0.176,0.152,,,
500,0.364,0.183,0.159,,,
501,0.352,0.168,0.144,,,
502,0.388,0.203,0.187,,,
503,0.359,0.179,0.159,,,
504,0.375,0.192,0.164,,,
505,0.404,0.176,0.156,,,
506,0.359,0.176,0.152,,,
507,0.396,0.195,0.172,,,
508,0.383,0.195,0.171,,,
509,0.375,0.18,0.155,,,
510,0.367,0.188,0.164,,,
511,0.38,0.195,0.171,,,
512,0.371,0.191,0.171,,,
513,0.371,0.195,0.167,,,
514,0.376,0.188,0.159,,,
515,0.376,0.188,0.164,,,
516,0.384,0.183,0.159,,,
517,0.351,0.168,0.148,,,
518,0.379,0.192,0.164,,,
519,0.364,0.179,0.159,,,
520,0.388,0.195,0.171,,,
521,0.396,0.204,0.18,,,
522,0.4,0.212,0.191,,,
523,0.371,0.187,0.163,,,
524,0.407,0.219,0.195,,,
525,0.399,0.188,0.164,,,
526,0.367,0.183,0.163,,,
527,0.38,0.192,0.167,,,
528,0.379,0.192,0.167,,,
529,0.379,0.188,0.159,,,
530,0.367,0.188,0.164,,,
531,0.372,0.191,0.171,,,
532,0.388,0.195,0.168,,,
533,0.379,0.195,0.171,,,
534,0.391,0.187,0.168,,,
535,0.388,0.192,0.168,,,
536,0.415,0.219,0.195,,,
537,0.419,0.187,0.168,,,
538,0.407,0.22,0.187,,,
539,0.403,0.207,0.183,,,
540,0.419,0.212,0.183,,,
541,0.431,0.211,0.191,,,
542,0.384,0.191,0.168,,,
543,0.383,0.188,0.164,,,
544,0.371,0.192,0.164,,,
545,0.396,0.192,0.168,,,
546,0.387,0.204,0.18,,,
547,0.396,0.195,0.168,,,
548,0.391,0.204,0.18,,,
549,0.387,0.2,0.18,,,
550,0.396,0.195,0.168,,,
551,0.384,0.195,0.171,,,
552,0.412,0.223,0.2,,,
553,0.42,0.228,0.207,,,
554,0.408,0.216,0.187,,,
555,0.435,0.236,0.212,,,
556,0.428,0.231,0.207,,,
557,0.403,0.207,0.183,,,
558,0.403,0.195,0.175,,,
559,0.403,0.203,0.175,,,
560,0.376,0.183,0.164,,,
561,0.404,0.207,0.187,,,
562,0.4,0.207,0.18,,,
563,0.399,0.207,0.18,,,
564,0.404,0.216,0.188,,,
565,0.407,0.204,0.18,,,
566,0.379,0.192,0.163,,,
567,0.484,0.219,0.192,,,
568,0.431,0.227,0.199,,,
569,0.463,0.268,0.239,,,
570,0.472,0.223,0.195,,,
571,0.5,0.231,0.199,,,
572,0.463,0.235,0.207,,,
573,0.435,0.227,0.199,,,
574,0.432,0.231,0.203,,,
575,0.427,0.228,0.208,,,
576,0.432,0.235,0.207,,,
577,0.427,0.235,0.207,,,
